epoch,accuracy,loss,val_accuracy,val_loss
0,0.1034482792019844,1.8557367324829102,0.25,1.5389364957809448
1,0.3103448152542114,1.5186046361923218,0.1666666716337204,1.5554534196853638
2,0.2068965584039688,1.5624008178710938,0.3333333432674408,1.5563300848007202
3,0.32758620381355286,1.4970566034317017,0.4166666567325592,1.5370731353759766
4,0.3965517282485962,1.4530565738677979,0.5,1.4785398244857788
5,0.43103447556495667,1.3572983741760254,0.5,1.3663917779922485
6,0.517241358757019,1.3251068592071533,0.5,1.2760432958602905
7,0.48275861144065857,1.251429796218872,0.5833333134651184,1.2074543237686157
8,0.4482758641242981,1.1555049419403076,0.5,1.145110845565796
9,0.5344827771186829,1.0575553178787231,0.6666666865348816,0.9817805886268616
10,0.568965494632721,1.0220643281936646,0.6666666865348816,0.9110245704650879
11,0.4655172526836395,1.0858287811279297,0.75,0.8352254033088684
12,0.6206896305084229,0.9249110221862793,0.75,0.828303337097168
13,0.5517241358757019,1.008960247039795,0.75,0.7221433520317078
14,0.5862069129943848,1.0318580865859985,0.75,0.731865406036377
15,0.568965494632721,0.9476523399353027,0.75,0.6876179575920105
16,0.6034482717514038,0.9501319527626038,0.8333333134651184,0.6408141255378723
17,0.6896551847457886,0.8066170811653137,0.8333333134651184,0.6811118125915527
18,0.6034482717514038,0.8940019011497498,0.5833333134651184,0.782212495803833
19,0.6206896305084229,0.8040988445281982,0.8333333134651184,0.6272814869880676
20,0.7586206793785095,0.710290253162384,0.6666666865348816,0.6480766534805298
21,0.6551724076271057,0.6919617056846619,0.8333333134651184,0.5978797078132629
22,0.6379310488700867,0.8251690864562988,0.75,0.7050144076347351
23,0.6379310488700867,0.7962513566017151,0.6666666865348816,0.742300808429718
24,0.7586206793785095,0.74899822473526,0.6666666865348816,0.687800943851471
25,0.6896551847457886,0.7341965436935425,0.6666666865348816,0.7904722690582275
26,0.6551724076271057,0.6734839081764221,0.6666666865348816,0.9773737788200378
27,0.7413793206214905,0.6595883965492249,0.5833333134651184,0.8229328989982605
28,0.6379310488700867,0.7702100276947021,0.75,0.6074829697608948
29,0.7068965435028076,0.6317963004112244,0.75,0.6199942827224731
